,smoothing_level,smoothing_slope,damping_slope,damped,RMSE,R²
565,0.9,0.8,0.7,True,39.73711881856623,-486.3934686226717
566,0.9,0.9,0.7,True,45.27977143352805,-631.842164150672
567,0.1,0.1,0.8,True,4.467008115223816,-5.15914513663321
568,0.1,0.2,0.8,True,5.010487457268881,-6.749022355218864
569,0.1,0.3,0.8,True,5.529383205492374,-8.437138599217763
570,0.1,0.4,0.8,True,6.026980255843843,-10.212087869162657
571,0.1,0.5,0.8,True,6.502900936335914,-12.052726298641254
572,0.1,0.6,0.8,True,6.956017387793002,-13.935104753290448
573,0.1,0.7,0.8,True,7.385471324412234,-15.836173309758749
574,0.1,0.8,0.8,True,7.790848423163711,-17.73511939043194
575,0.1,0.9,0.8,True,8.172050132771192,-19.613370043845496
576,0.2,0.1,0.8,True,5.6695778470782106,-8.921752764177183
577,0.2,0.2,0.8,True,6.373569427226076,-11.53869669300746
578,0.2,0.3,0.8,True,6.987693194144062,-14.071435242881101
579,0.2,0.4,0.8,True,7.510247925936297,-16.40986899856122
580,0.2,0.5,0.8,True,7.940862525246626,-18.463561427519437
581,0.2,0.6,0.8,True,8.279907105219067,-20.16108267004383
582,0.2,0.7,0.8,True,8.528017565352961,-21.44828294049575
583,0.2,0.8,0.8,True,8.685901720595714,-22.287173419195863
584,0.2,0.9,0.8,True,8.754315932553085,-22.655459397733278
585,0.3,0.1,0.8,True,5.891100651691227,-9.712228821348763
586,0.3,0.2,0.8,True,6.410841483225704,-11.685775814185014
587,0.3,0.3,0.8,True,6.734917152693831,-13.000755476953719
588,0.3,0.4,0.8,True,6.866670647533833,-13.55390011700001
589,0.3,0.5,0.8,True,6.812266776151521,-13.324195818016817
590,0.3,0.6,0.8,True,6.581653935443139,-12.370789195258215
591,0.3,0.7,0.8,True,6.191496362946473,-10.832545944980728
592,0.3,0.8,0.8,True,5.671171093983329,-8.927329907111156
593,0.3,0.9,0.8,True,5.07470852979819,-6.948938952777803
594,0.4,0.1,0.8,True,5.255226420094022,-7.524517755095559
595,0.4,0.2,0.8,True,5.315014010350486,-7.719584335447744
596,0.4,0.3,0.8,True,5.080610490898893,-6.967439171753763
597,0.4,0.4,0.8,True,4.605070379491536,-5.5457512757288825
598,0.4,0.5,0.8,True,4.00616155618412,-3.953861647347262
599,0.4,0.6,0.8,True,3.5535954831197203,-2.8978303562313337
600,0.4,0.7,0.8,True,3.7191955924306885,-3.269578395133676
601,0.4,0.8,0.8,True,4.803104747976111,-6.120837435588177
602,0.4,0.9,0.8,True,6.6464562988320335,-12.63538052308219
603,0.5,0.1,0.8,True,3.9521285546133966,-3.821132649417647
604,0.5,0.2,0.8,True,3.488926772346235,-2.7572549373464135
605,0.5,0.3,0.8,True,2.999403766594665,-1.776878130743305
606,0.5,0.4,0.8,True,3.208589134916893,-2.1777166701415918
607,0.5,0.5,0.8,True,4.6433225031587115,-5.654947790490781
608,0.5,0.6,0.8,True,7.024941647251607,-14.232542462095132
609,0.5,0.7,0.8,True,10.05223300447204,-30.189761125303225
610,0.5,0.8,0.8,True,13.587972605405211,-55.989688141183706
